sample_id,organ,series_group_id,split,label_evidence,series_id,source_name,title,single_cell_probability,tumor_like
GSM2850626,brain,GSE106810,calibration,source,GSE106810,brain,HumanCortex_AGO2RIP_B8_totalRNA,0.06779593229293823,False
GSM2850627,brain,GSE106810,calibration,source,GSE106810,brain,HumanCortex_AGO2RIP_B14_totalRNA,0.027615420520305634,False
GSM2850628,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2RIP_B6_totalRNA,0.08287299424409866,False
GSM2850629,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2RIP_B9_totalRNA,0.11200880259275436,False
GSM2850630,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2RIP_B10_totalRNA,0.10518229752779007,False
GSM2850631,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2RIP_B11_totalRNA,0.0268155075609684,False
GSM2850632,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2RIP_B13_totalRNA,0.03149973601102829,False
GSM2850633,brain,GSE106810,calibration,source,GSE106810,brain,HumanCortex_AGO2IN_B8_totalRNA,0.1197793185710907,False
GSM2850634,brain,GSE106810,calibration,source,GSE106810,brain,HumanCortex_AGO2IN_B14_totalRNA,0.07239241898059845,False
GSM2850635,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2IN_B6_totalRNA,0.13163891434669495,False
GSM2850636,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2IN_B9_totalRNA,0.18151305615901947,False
GSM2850637,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2IN_B10_totalRNA,0.18086659908294678,False
GSM2850638,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2IN_B11_totalRNA,0.061347465962171555,False
GSM2850639,brain,GSE106810,calibration,source,GSE106810,brain,Glioblastoma_AGO2IN_B13_totalRNA,0.06662813574075699,False
GSM3058369,brain,GSE112137,calibration,source,GSE112137,brain,Control_120hour_lane8_3,0.19908137619495392,False
GSM3058370,brain,GSE112137,calibration,source,GSE112137,brain,Control_120hour_lane6_3,0.17394006252288818,False
GSM3058376,brain,GSE112137,calibration,source,GSE112137,brain,Hypoxia_120hour_lane6_6,0.1678125262260437,False
GSM3058379,brain,GSE112137,calibration,source,GSE112137,brain,Control_48hour_lane6_8,0.17176471650600433,False
GSM3058381,brain,GSE112137,calibration,source,GSE112137,brain,Control_120hour_lane6_9,0.1678643375635147,False
GSM3058382,brain,GSE112137,calibration,source,GSE112137,brain,Control_120hour_lane8_9,0.20741340517997742,False
GSM3058383,brain,GSE112137,calibration,source,GSE112137,brain,Hypoxia_24hour_lane8_10,0.1232319325208664,False
