gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version,split,study_exposure,species
GSM4066596,GSE137081,Homo sapiens,"Line 1, Flight rep1 [FB1]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line source: hiPSC line1,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.008849269951700054,human_gene_v2.5.h5,2.5,val,seen_study,human
GSM4066597,GSE137081,Homo sapiens,"Line 2, Flight rep1 [FB2]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line sournce: hiPSC line2,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.008331646640058981,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066598,GSE137081,Homo sapiens,"Line 3, Flight rep1 [FB3]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line sournce: hiPSC line3,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.03956837825551443,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066599,GSE137081,Homo sapiens,"Line 1, Flight rep2 [FB4]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line sournce: hiPSC line1,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.008303214049192684,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066600,GSE137081,Homo sapiens,"Line 2, Flight rep2 [FB5]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line sournce: hiPSC line2,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.013504238678821442,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066601,GSE137081,Homo sapiens,"Line 3, Flight rep2 [FB6]",hiPSC-CM_4.5 weeks microgravity exposure,"cell line sournce: hiPSC line3,cell type: hiPSC-derived cardiomyocytes,treatment: 4.5 weeks microgravity exposure",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.02774209238014032,human_gene_v2.5.h5,2.5,val,seen_study,human
GSM4066602,GSE137081,Homo sapiens,"Line 1, Post-flight rep1 [FC1]","hiPSC-CM_5.5 weeks microgravity exposure, followed by 10 days normal gravity","cell line sournce: hiPSC line1,cell type: hiPSC-derived cardiomyocytes,treatment: 5.5 weeks microgravity exposure, followed by 10 days normal gravity",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.009005975613441044,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066603,GSE137081,Homo sapiens,"Line 2, Post-flight rep1 [FC2]","hiPSC-CM_5.5 weeks microgravity exposure, followed by 10 days normal gravity","cell line sournce: hiPSC line2,cell type: hiPSC-derived cardiomyocytes,treatment: 5.5 weeks microgravity exposure, followed by 10 days normal gravity",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.008431950595104206,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066604,GSE137081,Homo sapiens,"Line 3, Post-flight rep1 [FC3]","hiPSC-CM_5.5 weeks microgravity exposure, followed by 10 days normal gravity","cell line sournce: hiPSC line3,cell type: hiPSC-derived cardiomyocytes,treatment: 5.5 weeks microgravity exposure, followed by 10 days normal gravity",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.012925344219440839,human_gene_v2.5.h5,2.5,train,seen_study,human
GSM4066605,GSE137081,Homo sapiens,"Line 1, Post-flight rep2 [FC4]","hiPSC-CM_5.5 weeks microgravity exposure, followed by 10 days normal gravity","cell line sournce: hiPSC line1,cell type: hiPSC-derived cardiomyocytes,treatment: 5.5 weeks microgravity exposure, followed by 10 days normal gravity",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Sep 09 2019,0.008806849099687883,human_gene_v2.5.h5,2.5,train,seen_study,human
